Infinitiv,Type,Hilfsverb,Perfektpartizip,Pattern
treiben,starke,haben,getrieben,ge + infinitiv
trinken,starke,haben,getrunken,ge + infinitiv[i -> u]
tun,starke,haben,getan,ge + stem[u -> a]
verbessern,,haben,verbessert,partizip + stem + t
verdienen,schwache,haben,verdient,partizip + stem + t
vergessen,starke,haben,vergessen,partizip + infinitiv
vergleichen,,haben,vergleichen,partizip + infinitiv
verkaufen,schwache,haben,verkauft,partizip + stem + t
verlieben (sich),schwache,haben,verliebt,partizip + stem + t
verlieren,starke,haben,verloren,partizip + infinitiv[ie -> o]
vermessen,,haben,vermessen,partizip + infinitiv
verstehen,starke,haben,verstanden,partizip + ge + infinitiv[e -> a][h -> nd]
versuchen,schwache,haben,versucht,partizip + stem + t
wandern,schwache,sein,gewandert,ge + stem + t
warten,schwache,haben,gewartet,ge + stem + t
werden,starke,sein,geworden,ge + infinitiv[e -> o]
wissen,gemischt,haben,gewusst,ge + stem[I -> u] + t
wohnen,schwache,haben,gewohnt,ge + stem + t
wollen,schwache,haben,gewollt,ge + stem + t
zeigen,schwache,haben,gezeigt,ge + stem + t
zu.nehmen,,haben,zugenommen,partizip + ge + infinitiv[e -> o][h -> nd]
zurück.bringen,,haben,zurückgebracht,partizip + ge + stem[I -> a] + t
zusammen.leben,schwache,haben,zusammengelebt,partizip + ge + stem + t
